Unnamed: 0,French,English
0,histoire,history
5,mois,month
6,frère,brother
7,laisser,let
10,laisse,leash
12,ville,city
14,arrivé,come
16,bébé,baby
18,heures,hours
20,revoir,meet again
22,savais,knew
23,attention,Warning
24,voici,here is
27,leurs,their
28,donné,given
31,écoute,listen
32,dont,whose
34,main,hand
36,vieux,old
38,tellement,so much
41,suite,after
42,pardon,sorry
43,venez,come
45,minutes,minutes
46,demandé,request
48,belle,beautiful
49,droit,law
50,aimerais,would like to
51,aujourd'hui,today
52,cause,cause
53,enfin,finally
55,eau,water
56,attendez,Wait
58,boulot,job
59,arrêter,Stop
62,compte,account
63,donne,given
64,loin,far
65,fin,end
66,croire,believe
67,chérie,sweetheart
71,bureau,office
